Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
County,Floyd County,IA,Floyd County,NA,0.493603412
County,Floyd County,IN,Floyd County,NA,4.696933253
County,Garza County,TX,Garza County,NA,0.892787524
County,Geary County,KS,Geary County,NA,3.327599102
County,Giles County,TN,Giles County,NA,5.044339623
County,Glenn County,CA,Glenn County,NA,2.578899083
County,Glynn County,GA,Glynn County,NA,1.830092119
County,Grady County,OK,Grady County,NA,4.755608974
County,Grand County,CO,Grand County,NA,7.018351214
County,Grant County,IN,Grant County,NA,5.689851767
County,Grant County,KS,Grant County,NA,-5.17309417
County,Grant County,KY,Grant County,NA,1.441370224
County,Grant County,NM,Grant County,NA,2.586770428
County,Grant County,WA,Grant County,NA,5.357342267
County,Grant County,WI,Grant County,NA,2.581886792
County,Green County,WI,Green County,NA,2.604679064
County,Henry County,GA,Henry County,NA,6.276756757
County,Henry County,IN,Henry County,NA,3.557208238
County,Henry County,OH,Henry County,NA,0.609638554
County,Henry County,TN,Henry County,NA,2.5
County,Henry County,VA,Henry County,NA,-0.048941799
County,Horry County,SC,Horry County,NA,4.251523546
County,Idaho County,ID,Idaho County,NA,5.133651551
County,Ionia County,MI,Ionia County,NA,-3.390804598
County,Iosco County,MI,Iosco County,NA,1.577023499
County,Jones County,GA,Jones County,NA,11.87720536
County,Jones County,TX,Jones County,NA,-5.409582689
County,Kauai County,HI,Kauai County,NA,5.510871456
County,Kings County,CA,Kings County,NA,3.531177829
County,Kings County,NY,Kings County,NA,0.425107895
County,Kiowa County,KS,Kiowa County,NA,-0.268792711
County,Lamar County,GA,Lamar County,NA,4.778794813
County,Lamar County,MS,Lamar County,NA,-0.302539168
County,Lemhi County,ID,Lemhi County,NA,3.328888889
County,Lewis County,ID,Lewis County,NA,0.549459042
County,Lewis County,TN,Lewis County,NA,7.346424975
County,Lewis County,WA,Lewis County,NA,5.878520387
County,Llano County,TX,Llano County,NA,0.5768
County,Logan County,IL,Logan County,NA,0.982989064
County,Logan County,OH,Logan County,NA,3.276264591
County,Logan County,OK,Logan County,NA,4.613873542
County,Lucas County,OH,Lucas County,NA,3.11167002
County,Macon County,IL,Macon County,NA,-3.34097035
County,Macon County,MO,Macon County,NA,6.857257418
County,Macon County,NC,Macon County,NA,4.727125068
County,Macon County,TN,Macon County,NA,0.184688995
County,Marin County,CA,Marin County,NA,-2.016187528
County,Mason County,MI,Mason County,NA,2.212880143
County,Mason County,WA,Mason County,NA,2.579883805
County,Maury County,TN,Maury County,NA,3.950859951
County,Mayes County,OK,Mayes County,NA,5.332453826
County,Meade County,KY,Meade County,NA,4.368698269
County,Meigs County,TN,Meigs County,NA,3.808093995
County,Miami County,IN,Miami County,NA,3.368872549
County,Miami County,KS,Miami County,NA,1.733029382
County,Miami County,OH,Miami County,NA,1.310954064
County,Milam County,TX,Milam County,NA,4.846486486
County,Mills County,IA,Mills County,NA,0.468085106
County,Moore County,NC,Moore County,NA,2.77410593
County,Moore County,TX,Moore County,NA,3.844282238
County,Mower County,MN,Mower County,NA,6.383970177
County,Noble County,IN,Noble County,NA,1.587588374
County,Nolan County,TX,Nolan County,NA,-1.561181435
County,Obion County,TN,Obion County,NA,-2.203208556
County,Ocean County,NJ,Ocean County,NA,0.433227063
County,Osage County,KS,Osage County,NA,1.440643863
County,Osage County,MO,Osage County,NA,4.325251331
County,Osage County,OK,Osage County,NA,0.947888589
County,Otero County,CO,Otero County,NA,-1.24738676
County,Parke County,IN,Parke County,NA,3.190062112
County,Pasco County,FL,Pasco County,NA,1.891472868
County,Payne County,OK,Payne County,NA,3.445945946
County,Peach County,GA,Peach County,NA,3.93
County,Perry County,IN,Perry County,NA,2.39537037
County,Perry County,MO,Perry County,NA,2.963040446
County,Perry County,MS,Perry County,NA,0.168855535
County,Perry County,PA,Perry County,NA,-0.523779725
County,Piatt County,IL,Piatt County,NA,-2.889823381
County,Pinal County,AZ,Pinal County,NA,5.923604758
County,Posey County,IN,Posey County,NA,2.590789474
County,Power County,ID,Power County,NA,5.151582454
County,Pratt County,KS,Pratt County,NA,4.062827225
County,Rabun County,GA,Rabun County,NA,6.166118421
County,Rains County,TX,Rains County,NA,1.596680498
County,Ralls County,MO,Ralls County,NA,11.19044171
