County,State,Year,Price
Spotsylvania,VA,2012,114.66666666666667
Montgomery,VA,2012,100.83333333333333
Calvert,MD,2012,166.08333333333334
Frederick,VA,2012,115.5
Fauquier,VA,2012,151.66666666666666
Culpeper,VA,2012,109.0
Warren,VA,2012,124.25
Jefferson,WA,2012,153.33333333333334
Fredericksburg City,VA,2012,141.58333333333334
Fairfax City,VA,2012,239.58333333333334
Manassas Park City,VA,2012,147.16666666666666
Clarke,VA,2012,143.16666666666666
Falls Church City,VA,2012,336.9166666666667
Fairfax,VA,2013,265.9166666666667
Montgomery,MD,2013,237.58333333333334
Prince Georges,MD,2013,132.83333333333334
District of Columbia,DC,2013,370.5833333333333
Prince William,VA,2013,171.16666666666666
Loudoun,VA,2013,198.0
Frederick,MD,2013,150.25
Arlington,VA,2013,411.5
Charles,MD,2013,125.16666666666667
Stafford,VA,2013,138.83333333333334
Spotsylvania,VA,2013,122.08333333333333
Montgomery,VA,2013,102.25
Calvert,MD,2013,164.91666666666666
Frederick,VA,2013,120.16666666666667
Fauquier,VA,2013,161.91666666666666
Culpeper,VA,2013,119.66666666666667
Warren,VA,2013,130.41666666666666
Jefferson,WA,2013,158.33333333333334
Fredericksburg City,VA,2013,145.83333333333334
Fairfax City,VA,2013,250.66666666666666
Manassas Park City,VA,2013,162.25
Clarke,VA,2013,151.5
Falls Church City,VA,2013,362.8333333333333
Fairfax,VA,2014,275.25
Montgomery,MD,2014,249.0
Prince Georges,MD,2014,145.0
District of Columbia,DC,2014,402.0833333333333
Prince William,VA,2014,178.75
Loudoun,VA,2014,204.83333333333334
Frederick,MD,2014,158.08333333333334
Arlington,VA,2014,423.75
Charles,MD,2014,130.25
Stafford,VA,2014,146.16666666666666
Spotsylvania,VA,2014,128.16666666666666
Montgomery,VA,2014,103.58333333333333
Calvert,MD,2014,166.66666666666666
Frederick,VA,2014,128.41666666666666
Fauquier,VA,2014,169.5
Culpeper,VA,2014,128.16666666666666
Warren,VA,2014,134.08333333333334
Jefferson,WA,2014,168.66666666666666
Fredericksburg City,VA,2014,138.41666666666666
Fairfax City,VA,2014,258.8333333333333
Manassas Park City,VA,2014,170.66666666666666
Clarke,VA,2014,154.0
Falls Church City,VA,2014,370.25
Fairfax,VA,2015,277.0
Montgomery,MD,2015,251.5
Prince Georges,MD,2015,154.25
District of Columbia,DC,2015,431.25
Prince William,VA,2015,181.5
Loudoun,VA,2015,205.25
